Radius_kpc,V_Newton,V_ISUT
15.312709030100333,7.93001304518539,8.041881915089757
15.446153846153845,7.901232805315804,8.014426386291682
15.579598662207356,7.872648740245697,7.9871723085343005
15.713043478260868,7.844261718090037,7.960120485040068
15.846488294314378,7.816072455344536,7.933271567505303
15.97993311036789,7.788081524818115,7.906626064055374
16.113377926421403,7.760289363211853,7.880184346845537
16.246822742474915,7.732696278359927,7.853946659322949
16.380267558528427,7.705302456147354,7.827913123164646
16.51371237458194,7.678107967118646,7.802083744905646
16.64715719063545,7.651112772790807,7.776458422270591
16.780602006688962,7.624316731683515,7.75103695022179
16.914046822742474,7.597719605078733,7.725819026735916
17.047491638795986,7.571321062521399,7.700804258321027
17.180936454849498,7.545120687072393,7.675992165285105
17.31438127090301,7.519117980324373,7.651382186766747
17.44782608695652,7.493312367190715,7.62697368553822
