Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC4085,All65,none,7,0.3186357621787902,0.7,0.0,0.0,181.40653515950672,1.0,25.61633233799271,16.193068015167807,2,4,29.508152636103336,23.97670861138906,-5.5314440247142755,DM,True,False,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,ABNORMAL_TERMINATION_IN_LNSRCH,18,260
NGC4088,All65,none,12,0.22377327052375198,0.7,0.0,0.0,129.66401052769487,1.0,11.230891651082011,5.687415976495751,2,4,16.20070495065801,15.627042575647753,-0.5736623750102581,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,27,115
NGC4100,All65,none,24,0.5582343952109108,0.7,0.0,0.0,143.17447370006084,1.9839284051393993,42.17950993582474,18.866999075111064,2,4,48.53561759652063,31.57921439650285,-16.956403200017782,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,150
NGC4138,All65,none,7,0.7026184061729839,0.0,0.0,0.0,125.56875804617597,3.952529698721156,5.636723057112932,2.842122001889196,2,4,9.528543355223558,10.625762598110448,1.09721924288689,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39,145
NGC4157,All65,none,17,0.33749768819537446,0.05908696282376605,0.0,0.0,145.1221240636537,1.0,9.009576019453991,7.977626235442251,2,4,14.676002707566424,19.310479611667116,4.634476904100692,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,170
NGC4183,All65,none,23,0.36798784499821524,0.7,0.0,0.0,88.34345087494631,1.0,58.85486634387884,3.4706165708290255,2,4,65.12585477573714,16.012593434545625,-49.11326134119152,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,90
NGC4217,All65,none,19,1.3855312243312243,0.13112232245011746,0.0,0.0,147.58114189675052,1.0,27.805053826535538,28.49990000629702,2,4,33.69393178486842,40.27765592296278,6.583724138094361,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,42,190
NGC4559,All65,none,32,0.25313825863844264,0.7,0.0,0.0,108.73452464316217,1.362345763812953,50.07231341282185,5.63142852097217,2,4,57.0037852184213,19.494372132171076,-37.50941308625022,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,180
NGC5033,All65,none,22,0.6903031596109487,0.3136293259759075,0.0,0.0,198.87243545606324,2.954118509170023,168.69491830895623,48.972147050798704,2,4,174.87700321567286,61.33631686423197,-113.54068635144088,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39,180
NGC5055,All65,none,28,0.3273622315056316,0.7,0.0,0.0,153.63362589503143,1.08839579184268,397.05597806706254,45.02604321163794,2,4,403.720387087413,58.35486125233876,-345.3655258350742,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,220
NGC5585,All65,none,24,0.28501757205055867,0.7,0.0,0.0,82.45113670340312,1.0,168.54066908188412,147.74782916193055,2,4,174.89677674258002,160.46004448332235,-14.436732259257667,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,100
NGC5907,All65,none,19,0.43361921807334775,0.7,0.0,0.0,218.76992240583272,3.819964120126978,466.25927118453217,63.533172372281065,2,4,472.14814914286507,75.31092828894683,-396.8372208539182,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,140
NGC5985,All65,none,33,0.8104540068749249,4.073772305552847,0.0,0.0,284.7580337483691,3.602479813601469,190.352562313706,47.67327057249103,2,4,197.34557743663896,61.65930081835695,-135.68627661828202,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,45,115
NGC6015,All65,none,44,0.6391430666360858,0.7,0.0,0.0,133.18422756449726,1.76206513627697,589.0520386186887,347.6933407420077,2,4,596.6204178865253,362.83009927768074,-233.79031860884453,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,150
NGC6195,All65,none,23,0.17202620729453247,0.6588306598101293,0.0,0.0,208.69728401117433,1.0,38.00015961692616,39.62334148956482,2,4,44.27114804878446,52.16531835328142,7.89417030449696,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,33,240
NGC6503,All65,none,31,0.4850336672487028,0.7,0.0,0.0,104.00001950458368,1.364741629544143,92.58920395157405,40.25863617363464,2,4,99.45717836054435,53.99458499157522,-45.462593368969124,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,220
NGC6674,All65,none,15,0.23905782787248764,5.0,0.0,0.0,200.7829439990339,1.0,110.35975364922498,122.94749665508282,2,4,115.7758540514294,133.77969745949164,18.003843408062238,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,51,225
NGC6946,All65,none,58,0.38698424486347166,0.5398377464275226,0.0,0.0,130.14203891099922,1.0,104.12207379869616,86.85812279769671,2,4,112.24295981978901,103.09989483988238,-9.143064979906626,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,39,255
NGC7331,All65,none,36,0.3859962861200153,0.0,0.0,0.0,190.85033171118354,1.0,49.46523032997528,44.94203127548482,2,4,56.632268206887495,59.27610702930926,2.6438388224217633,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,220
NGC7793,All65,none,46,0.4495951868999284,0.7,0.0,0.0,82.53365585094699,1.0,36.977983488763726,38.96795614899646,2,4,44.63526628174192,54.28252173495284,9.647255453210917,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,210
UGC02885,All65,none,19,0.480879348816173,0.9932674232299773,0.0,0.0,260.3768249265964,1.0,13.832186752447061,13.635190346132202,2,4,19.72106471077994,25.412946262797963,5.691881552018021,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30,150
UGC06399,All65,none,9,0.6157945895060254,0.7,0.0,0.0,83.96185555058433,1.0,2.623071524636316,9.603330121663191,2,4,7.017520679308755,18.39222843100807,11.374707751699315,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,95
UGC06446,All65,none,17,1.065223048757876,0.7,0.0,0.0,71.44521513512254,1.0,14.324444983543694,3.022977966107936,2,4,19.990871671656127,14.3558313423328,-5.635040329323326,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,27,80
UGC06614,All65,none,13,0.43844293772715204,0.33975724264580576,0.0,0.0,174.91828607160002,1.0,7.753603902341071,10.477045964649697,2,4,12.883502617264146,20.736843394495843,7.853340777231697,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,42,105
UGC06667,All65,none,9,2.6208286264593545,0.7,0.0,0.0,61.24298666328147,1.0,21.935630119934434,13.933661418784427,2,4,26.330079274606874,22.722559728129305,-3.607519546477569,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,30,40
UGC06786,All65,none,45,1.1494069174735164,0.4747518661772437,0.0,0.0,215.82729690039832,2.634555535308789,657.8147358071373,24.520698106425556,2,4,665.4280607866779,39.747348065506834,-625.6807127211711,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36,195
UGC06818,All65,none,8,0.15800310576395935,0.7,0.0,0.0,57.47651242891588,1.0,18.361419801307026,33.800922038130324,2,4,22.520302884666698,42.11868820484967,19.59838532018297,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30,60
UGC06917,All65,none,11,0.5641799208844331,0.7,0.0,0.0,106.45897084399306,1.0268766630547894,10.292916771357648,5.344594596024263,2,4,15.08870731695439,14.936175687217744,-0.1525316297366448,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,105
UGC06923,All65,none,6,0.3217356969661262,0.7,0.0,0.0,85.8569472908007,1.0,3.8449080011789083,2.5342757633783703,2,4,7.428426939635019,9.70131364029059,2.2728867006555706,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,21,230
UGC06930,All65,none,10,0.3758304087725909,0.7,0.0,0.0,97.12458889389038,1.2205682566666605,17.7987783375343,2.061612215990175,2,4,22.403948523522395,11.271952587966359,-11.131995935556036,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,105
UGC06983,All65,none,17,0.7389397794811605,0.7,0.0,0.0,102.0863180203294,1.5732543475777725,18.83670690740477,8.64880284628075,2,4,24.503133595517205,19.981656222505613,-4.521477373011592,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,27,120
UGC07089,All65,none,12,0.13322325134611798,0.7,0.0,0.0,61.064057584869126,1.0,1.6084206547647726,26.25782457958757,2,4,6.5782339543407735,36.19745117873957,29.619217224398795,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,36,105
