Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC4013,All65,smart,36,0.17011178081187217,1.4840972777744343,0.16602928360633323,0.16199784375787632,142.3104514305437,1.0,50.28779936965952,59.864896187384694,4,4,64.62187512348396,74.19897194120914,9.577096817725177,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,130,200
NGC4051,All65,smart,7,0.33768693881738315,0.7,-0.24189524383450203,-0.2499948568014388,109.68356626198161,1.5966168196667572,11.7493694979599,3.219025725850476,4,4,19.533010094181154,11.002666322071729,-8.530343772109426,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,95,150
NGC4085,All65,smart,7,0.293768686739688,0.7,0.26116374851051083,0.2562675286721975,181.40653515950672,1.0,25.336125961646367,16.193068015167807,4,4,33.11976655786762,23.97670861138906,-9.14305794647856,DM,True,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,ABNORMAL_TERMINATION_IN_LNSRCH,70,260
NGC4088,All65,smart,12,0.27682586925129415,0.7,-0.5302803576588205,-0.5654123528150924,129.66401052769487,1.0,9.315995833328158,5.687415976495751,4,4,19.25562243248016,15.627042575647753,-3.628579856832406,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,100,115
NGC4100,All65,smart,24,0.7554873385118578,0.7,-0.846218917256376,-0.9353092534349043,143.17447370006084,1.9839284051393993,36.45350931473455,18.866999075111064,4,4,49.165724636126335,31.57921439650285,-17.586510239623486,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,150
NGC4138,All65,smart,7,0.7376913348327826,0.0,-0.16217499481761327,-0.16619922563901873,125.56875804617597,3.952529698721156,5.525036181039559,2.842122001889196,4,4,13.308676777260812,10.625762598110448,-2.682914179150364,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,110,145
NGC4157,All65,smart,17,0.374921702927525,0.01164069167783201,-0.2758846272852227,-0.28253827387952696,145.1221240636537,1.0,8.458454662437381,7.977626235442251,4,4,19.791308038662244,19.310479611667116,-0.48082842699512796,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,125,170
NGC4183,All65,smart,23,0.9456557739504409,0.7,-1.5425121521112966,-1.8654425134547912,88.34345087494631,1.0,30.985816190050798,3.4706165708290255,4,4,43.5277930537674,16.012593434545625,-27.51519961922177,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,110,90
NGC4217,All65,smart,19,1.2816123130081774,0.1248535451117172,0.22393679819339957,0.2230740913214461,147.58114189675052,1.0,27.569694943612053,28.49990000629702,4,4,39.34745086027782,40.27765592296278,0.9302050626849621,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,160,190
NGC4559,All65,smart,32,0.45455998071323916,0.7,-1.0385090341454668,-1.1745803487388111,108.73452464316217,1.362345763812953,20.367951784009577,5.63142852097217,4,4,34.230895395208485,19.494372132171076,-14.736523263037409,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,110,180
