r,gN,a0,y_gN_over_a0,nu_simple,alpha_sqrt_nu,gA_gN_times_nu,gB_gN_times_alpha2,abs_err,rel_err
25.636618309154578,1.5215230118822416,0.5,3.043046023764483,1.260669507187346,1.122795398631178,1.9181376655637918,1.9181376655637918,0.0,0.0
25.6615807903952,1.518564307442682,0.5,3.037128614885364,1.26109024716586,1.1229827457115538,1.915046637810145,1.9150466378101452,2.220446049250313e-16,1.1594736156344434e-16
25.68654327163582,1.5156142247211302,0.5,3.0312284494422603,1.2615111638202094,1.1231701401925753,1.9119642645304173,1.9119642645304171,2.220446049250313e-16,1.1613428610788705e-16
25.71150575287644,1.5126727302516405,0.5,3.025345460503281,1.2619322568575893,1.1233575819201957,1.908890512373384,1.908890512373384,0.0,0.0
25.73646823411706,1.5097397907304855,0.5,3.019479581460971,1.262353525985719,1.1235450707406975,1.90582534814957,1.90582534814957,0.0,0.0
25.76143071535768,1.5068153730152143,0.5,3.0136307460304286,1.262774970912842,1.1237326065006932,1.9027687388303103,1.90276873883031,2.220446049250313e-16,1.1669552920105722e-16
25.7863931965983,1.5038994441237155,0.5,3.007798888247431,1.2631965913477246,1.1239201890471247,1.899720651546815,1.8997206515468148,2.220446049250313e-16,1.168827662868408e-16
25.81135567783892,1.500991971233288,0.5,3.001983942466576,1.2636183869996542,1.1241078182272617,1.8966810535892387,1.896681053589239,4.440892098500626e-16,2.34140162369249e-16
25.836318159079543,1.4980929216797165,0.5,2.996185843359433,1.2640403575784407,1.1242954938887022,1.8936499124057597,1.8936499124057602,4.440892098500626e-16,2.345149475310756e-16
25.86128064032016,1.4952022629563555,0.5,2.990404525912711,1.2644625027944139,1.1244832158793718,1.8906271956016645,1.8906271956016645,0.0,0.0
25.88624312156078,1.4923199627132153,0.5,2.9846399254264306,1.264884822358423,1.1246709840475226,1.8876128709384339,1.8876128709384334,4.440892098500626e-16,2.3526498292485257e-16
25.911205602801402,1.4894459887560594,0.5,2.9788919775121188,1.265307315981837,1.1248587982417335,1.884606906332843,1.8846069063328428,2.220446049250313e-16,1.1782011632181493e-16
25.936168084042023,1.4865803090455056,0.5,2.9731606180910113,1.2657299833765425,1.1250466583109087,1.8816092698560634,1.8816092698560634,0.0,0.0
25.96113056528264,1.483722891696132,0.5,2.967445783392264,1.2661528242549436,1.1252345641042776,1.8786199297327693,1.8786199297327693,0.0,0.0
25.986093046523262,1.4808737049755891,0.5,2.9617474099511782,1.2665758383299608,1.1254225154713944,1.8756388543402518,1.8756388543402522,4.440892098500626e-16,2.3676690681814074e-16
26.011055527763883,1.4780327173037204,0.5,2.956065434607441,1.2669990253150312,1.1256105122621374,1.8726660122075407,1.8726660122075411,4.440892098500626e-16,2.371427723657783e-16
26.036018009004504,1.475199897251688,0.5,2.950399794503376,1.2674223849241064,1.1257985543267084,1.869701372014531,1.8697013720145315,4.440892098500626e-16,2.3751879123433153e-16
26.060980490245125,1.4723752135411012,0.5,2.9447504270822025,1.2678459168716523,1.1259866415156319,1.8667449025911123,1.866744902591112,2.220446049250313e-16,1.1894748158509768e-16
26.085942971485743,1.4695586350431549,0.5,2.9391172700863097,1.2682696208726485,1.1261747736797554,1.8637965729163088,1.8637965729163086,2.220446049250313e-16,1.191356439601104e-16
26.110905452726364,1.46675013077777,0.5,2.93350026155554,1.2686934966425873,1.126362950670248,1.8608563521174213,1.8608563521174213,0.0,0.0
26.135867933966985,1.4639496699127437,0.5,2.9278993398254873,1.2691175438974733,1.1265511723385997,1.8579242094691781,1.8579242094691781,0.0,0.0
26.160830415207606,1.4611572217629025,0.5,2.922314443525805,1.2695417623538217,1.1267394385366218,1.8550001143928891,1.8550001143928894,2.220446049250313e-16,1.19700588265302e-16
26.185792896448227,1.458372755789261,0.5,2.916745511578522,1.2699661517286582,1.1269277491164456,1.852084036455606,1.8520840364556064,4.440892098500626e-16,2.3977811001488395e-16
26.210755377688844,1.455596241598188,0.5,2.911192483196376,1.2703907117395188,1.1271161039305218,1.8491759453692906,1.8491759453692906,0.0,0.0
26.235717858929466,1.4528276489405754,0.5,2.9056552978811507,1.2708154421044477,1.1273045028316209,1.8462758109899826,1.846275810989983,4.440892098500626e-16,2.405324313987192e-16
26.260680340170087,1.4500669477110166,0.5,2.9001338954220333,1.2712403425419976,1.127492945672831,1.8433836033169817,1.8433836033169817,0.0,0.0
26.285642821410708,1.4473141079469865,0.5,2.894628215893973,1.2716654127712284,1.1276814323075592,1.8404992924920267,1.8404992924920267,0.0,0.0
26.31060530265133,1.4445690998280287,0.5,2.8891381996560574,1.272090652511706,1.1278699625895292,1.8376228487984847,1.8376228487984847,0.0,0.0
26.335567783891946,1.441831893674949,0.5,2.883663787349898,1.2725160614835032,1.128058536372782,1.8347542426605472,1.8347542426605472,0.0,0.0
26.360530265132567,1.439102459949011,0.5,2.878204919898022,1.2729416394071968,1.128247153511675,1.831893444642424,1.8318934446424242,2.220446049250313e-16,1.212104369795227e-16
26.38549274637319,1.4363807692511412,0.5,2.8727615385022824,1.2733673860038683,1.1284358138608808,1.8290404254475512,1.8290404254475512,0.0,0.0
26.41045522761381,1.433666792321137,0.5,2.867333584642274,1.2737933009951021,1.1286245172753877,1.8261951559178007,1.8261951559178005,2.220446049250313e-16,1.215886507011553e-16
26.435417708854427,1.43096050003688,0.5,2.86192100007376,1.274219384102986,1.128813263610499,1.823357607032694,1.823357607032694,0.0,0.0
26.460380190095048,1.4282618634135533,0.5,2.8565237268271066,1.2746456350501094,1.1290020527218316,1.8205277499086212,1.8205277499086212,0.0,0.0
26.48534267133567,1.4255708536028684,0.5,2.851141707205737,1.2750720535595623,1.1291908844653158,1.8177055557980677,1.8177055557980673,4.440892098500626e-16,2.443130618342002e-16
26.51030515257629,1.4228874418922914,0.5,2.845774883784583,1.2754986393549357,1.1293797586971956,1.8148909960888429,1.814890996088843,2.220446049250313e-16,1.2234597306590073e-16
26.53526763381691,1.4202115997042797,0.5,2.8404231994085594,1.2759253921603195,1.1295686752740266,1.8120840423033178,1.8120840423033175,2.220446049250313e-16,1.2253548938204496e-16
26.56023011505753,1.4175432985955185,0.5,2.835086597191037,1.276352311700303,1.1297576340526774,1.8092846660976631,1.8092846660976634,2.220446049250313e-16,1.2272507974322577e-16
26.58519259629815,1.4148825102561664,0.5,2.829765020512333,1.2767793976999733,1.1299466348903267,1.8064928392610944,1.8064928392610942,2.220446049250313e-16,1.2291474402735728e-16
26.61015507753877,1.412229206509105,0.5,2.82445841301821,1.277206649884914,1.1301356776444649,1.8037085337151244,1.8037085337151242,2.220446049250313e-16,1.2310448211257439e-16
26.635117558779392,1.4095833593091918,0.5,2.8191667186183835,1.2776340679812062,1.1303247621728927,1.8009317215128169,1.800931721512817,2.220446049250313e-16,1.232942938772324e-16
