r_kpc,r_m,Mbar_msun,a0_m_s2,gN_m_s2,y_gN_over_a0,nu_simple,alpha_sqrt_nu,a_mond_m_s2,a_clock_m_s2,v_newton_km_s,v_mond_km_s,v_clock_km_s
2.8479349186483103,8.787808930620149e+19,50000000000.0,1.2e-10,8.592777369914849e-10,7.160647808262374,1.1242212502771816,1.0602930020881878,9.660182918159143e-10,9.660182918159145e-10,274.7938967847875,291.3620457774539,291.36204577745394
2.9103879849812264,8.980518957268335e+19,50000000000.0,1.2e-10,8.22795491349558e-10,6.85662909457965,1.129161553598117,1.062620136077854,9.290690353057929e-10,9.290690353057929e-10,271.8295515211623,288.85155502739946,288.85155502739946
2.9728410513141426,9.17322898391652e+19,50000000000.0,1.2e-10,7.885882504080434e-10,6.571568753400362,1.134169273091064,1.0649738368105877,8.943925627334445e-10,8.943925627334447e-10,268.9591157596091,286.4344214556939,286.4344214556939
3.0352941176470587,9.365939010564705e+19,50000000000.0,1.2e-10,7.564707156696125e-10,6.303922630580104,1.1392428243775319,1.0673531863340886,8.618038346783422e-10,8.61803834678342e-10,266.17773359617865,284.10565208506745,284.10565208506745
3.097747183979975,9.55864903721289e+19,50000000000.0,1.2e-10,7.262760771785213e-10,6.052300643154344,1.1443806524733215,1.0697572867119538,8.311362910773207e-10,8.311362910773204e-10,263.4808935363858,281.86060576992526,281.8606057699252
3.160200250312891,9.751359063861076e+19,50000000000.0,1.2e-10,6.978538432212752e-10,5.815448693510627,1.1495812321982422,1.0721852602037776,8.022396809845924e-10,8.022396809845924e-10,260.86439771164765,279.6949621383647,279.6949621383647
3.222653316645807,9.94406909050926e+19,50000000000.0,1.2e-10,6.710679615386417e-10,5.592233012822014,1.1548430684865596,1.0746362493823478,7.749781838663056e-10,7.749781838663056e-10,258.32433439317066,277.60469383646836,277.60469383646836
3.2851063829787233,1.0136779117157446e+20,50000000000.0,1.2e-10,6.45795188143802e-10,5.381626567865017,1.1601646966053725,1.077109417192781,7.492287785220635e-10,7.492287785220635e-10,255.85705339382096,275.58604166568074,275.58604166568074
3.3475594493116394,1.0329489143805631e+20,50000000000.0,1.2e-10,6.219236671430207e-10,5.18269722619184,1.1655446822878965,1.0796039469582799,7.248798230275355e-10,7.248798230275354e-10,253.45914400608274,273.635492261634,273.635492261634
3.4100125156445555,1.0522199170453817e+20,50000000000.0,1.2e-10,5.993516909320904e-10,4.994597424434087,1.1709816217884024,1.082119042337026,7.018298150692805e-10,7.018298150692804e-10,251.1274151727711,271.7497580113318,271.7497580113318
3.4724655819774717,1.0714909197102001e+20,50000000000.0,1.2e-10,5.779866150536825e-10,4.816555125447354,1.1764741418652713,1.0846539272345217,6.79986306954894e-10,6.799863069548939e-10,248.85887762827662,269.9257589466855,269.9257589466855
3.534918648310388,1.0907619223750187e+20,50000000000.0,1.2e-10,5.577439060526407e-10,4.647865883772006,1.1820208996983743,1.0872078456755057,6.592649536336279e-10,6.592649536336278e-10,246.65072778301916,268.1606063872719,268.16060638727186
3.597371714643304,1.1100329250398372e+20,50000000000.0,1.2e-10,5.385463040210074e-10,4.4878858668417285,1.1876205827466686,1.0897800616393514,6.395886754174933e-10,6.395886754174932e-10,244.50033315352195,266.4515881348871,266.4515881348871
3.65982478097622,1.1293039277046558e+20,50000000000.0,1.2e-10,5.203230843118355e-10,4.336025702598629,1.1932719085516301,1.0923698588626611,6.208869198802547e-10,6.208869198802547e-10,242.40521916591578,264.7961550478438,264.7961550478438
3.7222778473091362,1.1485749303694742e+20,50000000000.0,1.2e-10,5.0300940522449e-10,4.191745043537417,1.1989736244918225,1.0949765406125478,6.030950097354828e-10,6.030950097354828e-10,240.36305718244418,263.1919088446887,263.1919088446887
3.7847309136420524,1.1678459330342928e+20,50000000000.0,1.2e-10,4.865457304075818e-10,4.054547753396515,1.2047245074936122,1.097599429433895,5.861535654383938e-10,5.861535654383938e-10,238.37165361923675,261.63659100568833,261.63659100568833
3.8471839799749685,1.1871169356991113e+20,50000000000.0,1.2e-10,4.708773163562685e-10,3.923977636302237,1.2105233637027406,1.1002378668736776,5.700079928869096e-10,5.700079928869095e-10,236.42894003972407,260.12807265651065,260.12807265651065
